article_name,country,revision_id,article_quality,population
Dunama I,Chad,710675092,Stub,13707000
Ahmad (Kanem-Bornu king),Chad,711388267,Stub,13707000
Djibrine Kerallah,Chad,712971263,Stub,13707000
Maurice Ngangtar,Chad,712971315,Stub,13707000
Idriss Miskine,Chad,712971738,Stub,13707000
Laoukein Kourayo Médard,Chad,716886170,Stub,13707000
Nadji Madou,Chad,716886788,Stub,13707000
Noël Milarew Odingar,Chad,716891799,Start,13707000
Yaya Dillo Djérou,Chad,717733209,Stub,13707000
Acheikh Ibn-Oumar,Chad,719821590,Start,13707000
Quatre Sou Quatre,Chad,720066754,Stub,13707000
Ali Gazi,Chad,722563340,Stub,13707000
Mahamat Djarma Khatir,Chad,725132042,Stub,13707000
Dunama IX Lefiami,Chad,731749611,Stub,13707000
Dawud of Kanem,Chad,736550266,Stub,13707000
Ahmed Koulamallah,Chad,738855197,Start,13707000
Abbo Nassour,Chad,741369486,C,13707000
Abdel Kader Baba-Laddé,Chad,742213176,Stub,13707000
Hummay,Chad,747271475,Stub,13707000
Ngarlejy Yorongar,Chad,751304544,C,13707000
Saleh Kezabo,Chad,751380073,Stub,13707000
Bourkou Louise Kabo,Chad,757072468,Start,13707000
Brahim Koulamallah,Chad,757802238,Stub,13707000
Saadie Goukouni Weddeye,Chad,757842614,Start,13707000
Mahamoud Adam Béchir,Chad,762579466,Start,13707000
Kalthouma Nguembang,Chad,762816132,Stub,13707000
Djidingar Dono Ngardoum,Chad,764133533,Stub,13707000
Template:ChadPMs,Chad,768123377,Stub,13707000
Template:ChadPres,Chad,770535091,Stub,13707000
Youssouf Saleh Abbas,Chad,771052289,B,13707000
Koibla Djimasta,Chad,774223245,Start,13707000
Nassour Guelendouksia Ouaido,Chad,774223248,C,13707000
Joseph Brahim Seid,Chad,777478442,Stub,13707000
Joseph Yodoyman,Chad,777550078,Start,13707000
Antoine Bangui,Chad,782638002,Start,13707000
Ibrahim IV of Bornu,Chad,785614014,Stub,13707000
Hadjé Halimé,Chad,786449636,C,13707000
Youssouf Togoïmi,Chad,787390241,Start,13707000
Adoum Younousmi,Chad,787719236,Start,13707000
François Tombalbaye,Chad,787738541,C,13707000
Ahmat Hassaballah Soubiane,Chad,787910771,Stub,13707000
Ahmad Allam-Mi,Chad,787921293,Start,13707000
Laotegguelnodji Koumtog,Chad,788009613,Stub,13707000
Mahamat Ali Adoum,Chad,788014671,Start,13707000
Mahamat Saleh Annadif,Chad,788658822,Start,13707000
Mohamed Bechir-Sow,Chad,788827248,Stub,13707000
Gontchomé Sahoulba,Chad,788828388,Start,13707000
Gabriel Lisette,Chad,788828519,Start,13707000
Ali II of Bornu,Chad,788999424,Stub,13707000
Arabi El Goni,Chad,789126126,Stub,13707000
Dunama Dabbalemi,Chad,789935196,Start,13707000
Idris Alooma,Chad,792734868,Start,13707000
Mahamat Nouri,Chad,792954115,FA,13707000
Idriss Ndele Moussa,Chad,796654025,Start,13707000
Mbaydoum Simeon,Chad,796690873,Stub,13707000
Ngarindo Milengar,Chad,796700718,Stub,13707000
List of Prime Ministers of Chad,Chad,797747674,Start,13707000
Idriss Déby,Chad,798286150,B,13707000
Saleh Kebzabo,Chad,798626040,C,13707000
Moussa Faki,Chad,799043301,C,13707000
Template:Chad-politician-stub,Chad,799373925,Stub,13707000
Kalzeubet Pahimi Deubet,Chad,799413193,Stub,13707000
Haroun Kabadi,Chad,799447895,Start,13707000
Nagoum Yamassoum,Chad,799447995,Start,13707000
Outel Bono,Chad,799448338,Stub,13707000
Ahmat Acyl,Chad,799902492,B,13707000
Djimrangar Dadnadji,Chad,800133552,Start,13707000
Delwa Kassiré Koumakoye,Chad,801029539,C,13707000
Fidèle Moungar,Chad,801192255,C,13707000
Jean Alingué Bawoyeu,Chad,801192303,C,13707000
Emmanuel Nadingar,Chad,801573576,C,13707000
Roger Djikisna,Chad,801583221,Stub,13707000
Firmin Djidingar,Chad,801583260,Stub,13707000
Idris I of Kanem,Chad,802874918,Stub,13707000
Vice President of Chad,Chad,803166509,Stub,13707000
Hissène Habré,Chad,803166806,GA,13707000
Negue Djogo,Chad,803166989,Start,13707000
Wadel Abdelkader Kamougué,Chad,803167152,C,13707000
Félix Malloum,Chad,803167336,Start,13707000
Lol Mahamat Choua,Chad,803167424,C,13707000
Goukouni Oueddei,Chad,803167990,C,13707000
Albert Pahimi Padacké,Chad,803433107,C,13707000
List of heads of state of Chad,Chad,803812011,Start,13707000
Elise Loum,Chad,804773540,Start,13707000
Agnes Allafi,Chad,805493169,Start,13707000
Christine Georges Diguibaye,Chad,806337653,Stub,13707000
Pascal Yoadimnadji,Chad,806508985,C,13707000
Aissa Koli,Chad,806616268,Stub,13707000
Omar I of Kanem,Chad,807425129,Start,13707000
Template:Zimbabwe-politician-stub,Zimbabwe,391862046,Stub,17354000
Template:Zimbabwe-mayor-stub,Zimbabwe,444767985,Stub,17354000
Jabulani Dube,Zimbabwe,645408814,Stub,17354000
Fletcher Dulini,Zimbabwe,669981316,Stub,17354000
Leopold Takawira,Zimbabwe,710060929,Start,17354000
Tinos Rusere,Zimbabwe,710524880,Start,17354000
Gift Tandare,Zimbabwe,710615823,Stub,17354000
Engelbert Rugeje,Zimbabwe,711448400,Start,17354000
Max Mnkandla,Zimbabwe,711509855,Stub,17354000
Lovemore Matombo,Zimbabwe,711958194,Stub,17354000
Alfred Nikita Mangena,Zimbabwe,712004487,Stub,17354000
Simbi Mubako,Zimbabwe,713121927,Stub,17354000
Nicholas Kiti kiti,Zimbabwe,713308132,Stub,17354000
Aleck Gumbo,Zimbabwe,713580662,Stub,17354000
Jabulani Sibanda,Zimbabwe,713618917,Start,17354000
Cain Mathema,Zimbabwe,713726531,Stub,17354000
Patrick Kombayi,Zimbabwe,713740128,Stub,17354000
Langton Towungana,Zimbabwe,713899377,Stub,17354000
Eric Matinenga,Zimbabwe,714455111,Stub,17354000
Emmanuel Chiroto,Zimbabwe,714535045,Start,17354000
Muchadeyi Masunda,Zimbabwe,714706533,C,17354000
David Butau,Zimbabwe,714967769,Stub,17354000
Thompson Samkange,Zimbabwe,715131189,Stub,17354000
Nomalanga Khumalo,Zimbabwe,715183334,Stub,17354000
Henry Dzinotyiweyi,Zimbabwe,715867004,Stub,17354000
Edward Raradza,Zimbabwe,716017725,Stub,17354000
Rekayi Tangwena,Zimbabwe,716669163,Stub,17354000
Sibonile Nyamudeza,Zimbabwe,717380254,Stub,17354000
Misheck Kagurabadza,Zimbabwe,720008799,Stub,17354000
Morgan Femai,Zimbabwe,721674926,Stub,17354000
Bybit Lydia Tsomondo,Zimbabwe,723082034,Stub,17354000
Kisinoti Mukwazhe,Zimbabwe,723353282,Stub,17354000
David Karimanzira,Zimbabwe,725242133,Stub,17354000
Sobusa Gula-Ndebele,Zimbabwe,726651867,Stub,17354000
Sylvester Nguni,Zimbabwe,726686195,Stub,17354000
Thamsanqa Mahlangu,Zimbabwe,726687480,Stub,17354000
Tichaona Mudzingwa,Zimbabwe,726687648,Stub,17354000
Murisi Zwizwai,Zimbabwe,726687669,Stub,17354000
Samuel Undenge,Zimbabwe,726688144,Stub,17354000
Reuben Marumahoko,Zimbabwe,726688205,Stub,17354000
Simon Khaya-Moyo,Zimbabwe,730764918,Stub,17354000
"List of candidates in the Zimbabwean parliamentary election, 2013",Zimbabwe,735498335,B,17354000
Jevan Maseko,Zimbabwe,736911246,Stub,17354000
Munacho Mutezo,Zimbabwe,738729779,Stub,17354000
Sesel Zvidzai,Zimbabwe,738810400,Stub,17354000
Samuel Sipepa Nkomo,Zimbabwe,738992625,Stub,17354000
Faber Chidarikire,Zimbabwe,738992871,Start,17354000
Willard Chiwewe,Zimbabwe,738992910,Stub,17354000
Martin Dinha,Zimbabwe,738992918,Stub,17354000
Herbert Ushewokunze,Zimbabwe,739137894,Stub,17354000
Nyasha Chikwinya,Zimbabwe,742899761,Start,17354000
Naomi Nhiwatiwa,Zimbabwe,743971092,Start,17354000
Bright Matonga,Zimbabwe,744753863,Stub,17354000
Thokozani Khuphe,Zimbabwe,747274193,Start,17354000
Border Gezi,Zimbabwe,748061603,Start,17354000
Rugare Gumbo,Zimbabwe,749496266,Start,17354000
George Nyandoro,Zimbabwe,750224976,Start,17354000
Paul Chimedza,Zimbabwe,750428952,Stub,17354000
Gorden Moyo,Zimbabwe,750974704,Stub,17354000
Daniel Shumba,Zimbabwe,753294248,Start,17354000
Douglas Mombeshora,Zimbabwe,755110125,Stub,17354000
Munyaradzi Gwisai,Zimbabwe,755337199,Start,17354000
Olivia Muchena,Zimbabwe,757616307,Start,17354000
Paurine Mpariwa,Zimbabwe,757616437,Stub,17354000
Sithembiso Nyoni,Zimbabwe,757617613,Stub,17354000
Earnest Mudzengi,Zimbabwe,757796569,Stub,17354000
Gift Banda,Zimbabwe,758442662,Stub,17354000
Wilson Kumbula,Zimbabwe,759330558,Stub,17354000
Paurina Mpariwa,Zimbabwe,760532029,Stub,17354000
Flora Buka,Zimbabwe,762630896,Stub,17354000
Elliot Manyika,Zimbabwe,763330074,Start,17354000
Diana Mitchell,Zimbabwe,764299725,Start,17354000
Maurice Nyagumbo,Zimbabwe,764826793,Start,17354000
Josiah Zion Gumede,Zimbabwe,765095810,Start,17354000
Edson Zvobgo,Zimbabwe,767922311,Start,17354000
Felix Magalela Mafa Sibanda,Zimbabwe,769519957,C,17354000
Tracy Mutinhiri,Zimbabwe,769876632,Stub,17354000
Kayisa Ndiweni,Zimbabwe,771958995,Stub,17354000
Enoch Dumbutshena,Zimbabwe,774026217,Stub,17354000
Hubert Nyanhongo,Zimbabwe,774061307,Stub,17354000
James Chikerema,Zimbabwe,775935799,C,17354000
Victoria Chitepo,Zimbabwe,776389556,Start,17354000
Joel Gabuza,Zimbabwe,776840034,Stub,17354000
Trudy Stevenson,Zimbabwe,776943338,Start,17354000
Joram Gumbo,Zimbabwe,777424335,Stub,17354000
Joseph Chinotimba,Zimbabwe,777482252,C,17354000
Nkululeko Sibanda,Zimbabwe,777623864,Start,17354000
Janet Banana,Zimbabwe,777849777,Stub,17354000
Lazarus Dokora,Zimbabwe,780062778,Stub,17354000
Lutho Tapela,Zimbabwe,782607746,Stub,17354000
Moven Mahachi,Zimbabwe,783298283,Start,17354000
Margaret Dongo,Zimbabwe,783419906,Start,17354000
Sekai Holland,Zimbabwe,783637102,C,17354000
George Chiweshe,Zimbabwe,783919896,Start,17354000
Josiah Mushore Chinamano,Zimbabwe,784396785,Stub,17354000
Michael Bimha,Zimbabwe,784668448,Stub,17354000
Josiah Tongogara,Zimbabwe,786913202,C,17354000
Naison Ndlovu,Zimbabwe,787854175,Stub,17354000
Enos Mdlongwa,Zimbabwe,787854640,Stub,17354000
Lindiwe Majele Sibanda,Zimbabwe,788247480,Start,17354000
Ndabaningi Sithole,Zimbabwe,788291899,C,17354000
Ambrose Mutinhiri,Zimbabwe,788777043,Stub,17354000
Judith Todd,Zimbabwe,788792548,Start,17354000
Andrew Langa,Zimbabwe,789094827,Stub,17354000
Christopher Kuruneri,Zimbabwe,789427326,Start,17354000
Priscilla Misihairabwi-Mushonga,Zimbabwe,789545114,Stub,17354000
Swithun Mombeshora,Zimbabwe,789545179,Stub,17354000
Oppah Muchinguri,Zimbabwe,789545185,Stub,17354000
Samuel Mumbengegwi,Zimbabwe,789545206,Start,17354000
Chris Mushohwe,Zimbabwe,789545212,Stub,17354000
Giles Mutsekwa,Zimbabwe,789545214,Stub,17354000
Francis Nhema,Zimbabwe,789545220,Stub,17354000
Mike Nyambuya,Zimbabwe,789545233,Stub,17354000
Solomon Mujuru,Zimbabwe,789898624,C,17354000
Ronald Penza,Zimbabwe,789948565,Stub,17354000
Joseph Made,Zimbabwe,789965571,Start,17354000
Evelyn Masaiti,Zimbabwe,790034879,Stub,17354000
Jessie Majome,Zimbabwe,790035057,Start,17354000
Theresa Makoni,Zimbabwe,790423262,Stub,17354000
List of Presidents of the Senate of Zimbabwe,Zimbabwe,791068367,Stub,17354000
Blessing Chebundo,Zimbabwe,791690130,Start,17354000
George Charamba,Zimbabwe,793738070,Start,17354000
Chenhanho Chimutengwende,Zimbabwe,793820850,Start,17354000
Simon Muzenda,Zimbabwe,794934380,Start,17354000
Witness Mangwende,Zimbabwe,794934451,Start,17354000
Nathan Shamuyarira,Zimbabwe,794934469,C,17354000
Joseph Makamba Busha,Zimbabwe,795007156,Stub,17354000
Walter Chidakwa,Zimbabwe,795247525,Stub,17354000
Maxwell Zeb Shumba,Zimbabwe,795637625,Start,17354000
Henry Madzorera,Zimbabwe,795846349,Stub,17354000
First Lady of Zimbabwe,Zimbabwe,796477244,Stub,17354000
Charles Shanyurai Majange,Zimbabwe,796608492,Stub,17354000
Elleck Mashingaidze,Zimbabwe,796726442,Stub,17354000
Phillip Chiyangwa,Zimbabwe,797170378,Start,17354000
Chenjerai Hunzvi,Zimbabwe,797225827,C,17354000
Edward Chindori-Chininga,Zimbabwe,797414978,Start,17354000
Arthur Mutambara,Zimbabwe,797932659,C,17354000
Edgar Tekere,Zimbabwe,798106157,C,17354000
Psychology Maziwisa,Zimbabwe,798140615,C,17354000
Isaac Matongo,Zimbabwe,798248963,Stub,17354000
Julia Tukai Zvobgo,Zimbabwe,798468363,C,17354000
Jameson Timba,Zimbabwe,799326094,Stub,17354000
Ben Ncube,Zimbabwe,799405378,Stub,17354000
Obedingwa Mguni,Zimbabwe,799406056,Stub,17354000
Denis Norman,Zimbabwe,799605293,Start,17354000
Japhet Ndabeni Ncube,Zimbabwe,800407734,Stub,17354000
Nicholas Mabodoko,Zimbabwe,800407872,Stub,17354000
Fay Chung,Zimbabwe,800705666,C,17354000
Alfred Makwarimba,Zimbabwe,801370822,Stub,17354000
Elphas Mukonoweshuro,Zimbabwe,801488585,Stub,17354000
Elton Mangoma,Zimbabwe,801497420,Start,17354000
Edna Madzongwe,Zimbabwe,802259324,Start,17354000
Fidelis Mhashu,Zimbabwe,803084855,Stub,17354000
Promise Mkwananzi,Zimbabwe,803579259,Start,17354000
Saviour Kasukuwere,Zimbabwe,804677245,Start,17354000
Walter Mzembi,Zimbabwe,804678140,Stub,17354000
Kembo Mohadi,Zimbabwe,804811059,Start,17354000
Learnmore Jongwe,Zimbabwe,804844902,Start,17354000
Lovemore Madhuku,Zimbabwe,804895632,C,17354000
List of Finance Ministers of Zimbabwe,Zimbabwe,804914333,Stub,17354000
Joice Mujuru,Zimbabwe,805993308,C,17354000
Ignatious Chombo,Zimbabwe,806656210,Start,17354000
Robert Mugabe,Zimbabwe,806814411,FA,17354000
Tichafa Samuel Parirenyatwa,Zimbabwe,807159774,C,17354000
Guy Georgias,Zimbabwe,807196681,Start,17354000
Grace Mugabe,Zimbabwe,807337237,GA,17354000
Guy Clutton-Brock,Zimbabwe,807442408,Start,17354000
Template:Uganda-politician-stub,Uganda,391862070,Stub,40141000
Template:Uganda-mayor-stub,Uganda,444767727,Stub,40141000
Yosia Nadiope of Busoga,Uganda,655390291,Stub,40141000
Patrick Mutono,Uganda,684295893,Stub,40141000
Stanislaus Okurut,Uganda,689614169,Stub,40141000
Charles Oboth Ofumbi,Uganda,693292931,Start,40141000
Pumla Kisosonkole,Uganda,693388584,Start,40141000
Francis K. Butagira,Uganda,707473503,Start,40141000
Otema Allimadi,Uganda,708054598,Stub,40141000
Omwony Ojwok,Uganda,713020154,Stub,40141000
Jachan Mandir Omach,Uganda,715433158,Stub,40141000
Onegi Obel,Uganda,717146307,Start,40141000
Saleh Kamba,Uganda,720059752,Stub,40141000
John Kabaireho,Uganda,723957779,Stub,40141000
Tete Chelangat,Uganda,724554948,Stub,40141000
Sarah Kanyike,Uganda,725742962,Stub,40141000
Gagawala Wambuzi,Uganda,726767754,Stub,40141000
Julius Wandera Maganda,Uganda,726918511,Stub,40141000
Haruna Kasolo Kyeyune,Uganda,726919678,Stub,40141000
Yabezi Kiiza,Uganda,736273855,Stub,40141000
Semei Kakungulu,Uganda,737799048,Start,40141000
Abu Mayanja,Uganda,746946728,C,40141000
Daniel Kidega,Uganda,753278613,Start,40141000
Eng Abner Nangwale,Uganda,756457100,Stub,40141000
Yowabu Magada Kawaluuko,Uganda,757388522,Start,40141000
Grace Kwiyucwiny,Uganda,757563021,Start,40141000
Mary Goretti Kitutu,Uganda,757615490,Start,40141000
Rukiya Chekamondo,Uganda,757616921,Start,40141000
Sezi Mbaguta,Uganda,757617202,Start,40141000
Frederick Ngobi Gume,Uganda,758395750,Stub,40141000
Rosemary Seninde,Uganda,758567928,Start,40141000
Gerald Ssendaula,Uganda,759366517,C,40141000
Juma Oris,Uganda,759378614,Stub,40141000
Godfrey Kiwanda,Uganda,759877869,Stub,40141000
Geoffrey Onegi Obel,Uganda,760056661,Start,40141000
Tom Butime,Uganda,760181848,Start,40141000
Dennis Galabuzi Ssozi,Uganda,760184747,Start,40141000
Ken Lukyamuzi,Uganda,763247419,Stub,40141000
Victoria Sekitoleko,Uganda,766481345,C,40141000
Emmanuel Otala,Uganda,766665157,Start,40141000
Kabakumba Masiko,Uganda,770316807,C,40141000
Innocent Oula,Uganda,771724283,Start,40141000
Isaac Mulindwa,Uganda,773245217,Start,40141000
Hope Mwesigye,Uganda,773870932,Start,40141000
Katikkiro of Buganda,Uganda,774683767,Stub,40141000
Daudi Cwa II of Buganda,Uganda,774683907,Start,40141000
Ssuuna II of Buganda,Uganda,774684052,Start,40141000
Kamaanya of Buganda,Uganda,774684080,C,40141000
Semakookiro of Buganda,Uganda,774684109,Start,40141000
Jjunju of Buganda,Uganda,774684124,Start,40141000
Kato Kintu,Uganda,774684195,Start,40141000
Chwa I of Buganda,Uganda,774684228,Start,40141000
Kyabaggu of Buganda,Uganda,774830237,Start,40141000
Kiweewa of Buganda,Uganda,774831268,Start,40141000
Ismael Orot,Uganda,775522497,Stub,40141000
James Obita,Uganda,775995921,Stub,40141000
Janat Mukwaya,Uganda,776107670,Start,40141000
Besueri Kiwanuka Lusse Mulondo,Uganda,776344991,Start,40141000
Jeremiah Twa-Twa,Uganda,776491782,Start,40141000
Joyce Kakuramatsi Kikafunda,Uganda,777643576,Stub,40141000
Kania Obiga,Uganda,778265355,Stub,40141000
Apollo Kironde,Uganda,778598971,Stub,40141000
Kibirige Mayanja,Uganda,778840186,Start,40141000
Kintu Musoke,Uganda,779007768,Start,40141000
Jessica Alupo,Uganda,779397351,Start,40141000
Rebecca Amuge Otengo,Uganda,779397437,Start,40141000
Syda Bbumba,Uganda,779397532,Start,40141000
Alintuma Nsambu,Uganda,781605803,Stub,40141000
Esther Mbulakubuza Mbayo,Uganda,781789704,Start,40141000
Abdul Nadduli,Uganda,782460126,Stub,40141000
Moses Kizige,Uganda,782979760,Start,40141000
Maria Kiwanuka,Uganda,783449036,Start,40141000
Elijah Mushemeza,Uganda,784734768,Start,40141000
Michael Lulume Bayigga,Uganda,784768216,Start,40141000
Deo Rwabiita,Uganda,785038536,Stub,40141000
Daudi Ochieng,Uganda,785108122,Stub,40141000
Joy Kabatsi,Uganda,785339072,Start,40141000
Joshua Wanume Kibedi,Uganda,785862055,C,40141000
Kizza Besigye,Uganda,786081128,C,40141000
Apolo Kagwa,Uganda,786226893,C,40141000
Michael Kawalya Kagwa,Uganda,787306486,Stub,40141000
Abed Bwanika,Uganda,787410566,Start,40141000
Aggrey Awori,Uganda,787858057,C,40141000
Aggrey Bagiire,Uganda,787858062,Stub,40141000
Agnes Akiror,Uganda,787870163,Start,40141000
Namirembe Bitamazire,Uganda,788019797,Start,40141000
Amon Bazira,Uganda,788899061,Stub,40141000
Christopher Iga,Uganda,788972378,Stub,40141000
Nasser Sebaggala,Uganda,788972461,Start,40141000
Erias Lukwago,Uganda,788972566,Start,40141000
Template:KampalaMayors,Uganda,788972642,Stub,40141000
Beatrice Wabudeya,Uganda,789747515,Start,40141000
Jane Aceng,Uganda,789747629,C,40141000
Ruth Achieng,Uganda,789747664,Stub,40141000
Justine Ayebazibwe,Uganda,789748037,Stub,40141000
Jessica Eriyo,Uganda,789748269,Start,40141000
Mary Karooro Okurut,Uganda,789748670,C,40141000
Adrian Tibaleka,Uganda,789748752,Stub,40141000
Nusura Tiperu,Uganda,789748782,Start,40141000
Florence Nakiwala Kiyingi,Uganda,789748978,Start,40141000
Ruth Nankabirwa,Uganda,789799593,Start,40141000
Justine Lumumba Kasule,Uganda,789799605,Start,40141000
Idah Nantaba,Uganda,789799744,C,40141000
Harriet Ntabazi,Uganda,789799847,Start,40141000
Florence Nebanda,Uganda,789799901,Start,40141000
Lukia Isanga Nakadama,Uganda,789799952,Start,40141000
Mariam Nalubega,Uganda,789799984,Start,40141000
Jenipher Namuyangu,Uganda,789800111,C,40141000
Sarah Kataike,Uganda,789800331,C,40141000
Caroline Amali Okao,Uganda,789800629,Start,40141000
Beatrice Rwakimari,Uganda,789803765,Stub,40141000
Mariam Naigaga,Uganda,790372580,C,40141000
Rose Akol,Uganda,790424964,Start,40141000
Amelia Kyambadde,Uganda,790428762,Start,40141000
Jehoash Mayanja Nkangi,Uganda,790837175,Start,40141000
Joash Mayanja Nkangi,Uganda,790993796,C,40141000
Moses Adome,Uganda,791007274,Stub,40141000
Paulson Luttamaguzi,Uganda,791007297,Stub,40141000
Charles Engola,Uganda,793154991,Start,40141000
Cerinah Nebanda,Uganda,793515881,Start,40141000
John Ssebaana Kizito,Uganda,793539141,Start,40141000
Persis Namuganza,Uganda,793628029,Start,40141000
Christine Amongin Aporu,Uganda,794194807,Start,40141000
Christine Ondoa,Uganda,794200311,Start,40141000
Concy Aciro,Uganda,795100048,Start,40141000
Peace Mutuuzo,Uganda,795181968,Start,40141000
Patrick Kayemba,Uganda,795404749,Stub,40141000
Alengot Oromait,Uganda,795458281,Start,40141000
Beti Kamya-Turwomwe,Uganda,796177970,C,40141000
Abdu Katuntu,Uganda,796406864,Start,40141000
Loyce Biira Bwambale,Uganda,796684047,Start,40141000
Mike Kennedy Sebalu,Uganda,796694225,Stub,40141000
Miria Matembe,Uganda,796695675,Start,40141000
Kalema of Buganda,Uganda,796808819,Start,40141000
Maria Mutagamba,Uganda,796899099,C,40141000
Sarah Achieng Opendi,Uganda,796991691,Start,40141000
Benedicto Kiwanuka,Uganda,797399615,Start,40141000
Yusuf Lule,Uganda,797449179,Start,40141000
Miria Obote,Uganda,797874277,Stub,40141000
Grace Akello,Uganda,798483499,Start,40141000
Joyce Moriku,Uganda,798506935,Start,40141000
David Karubanga,Uganda,799178559,Stub,40141000
Peter Takirambudde,Uganda,799513148,Stub,40141000
Mustafa Adrisi,Uganda,799651351,Stub,40141000
Rose Namayanja,Uganda,800003733,C,40141000
Timeline of Kampala,Uganda,800090136,C,40141000
Dora Byamukama,Uganda,800350710,Stub,40141000
Kirya Balaki Kebba,Uganda,800452152,C,40141000
Ismail Ogama,Uganda,800595514,Stub,40141000
Kassiano Wadri,Uganda,800595577,Stub,40141000
Abraham Waligo,Uganda,800900766,Stub,40141000
Rebecca Kadaga,Uganda,800965489,C,40141000
Emma Boona,Uganda,801577218,C,40141000
Augustine Nshimye,Uganda,801836959,Start,40141000
Ibrahim Ssemujju Nganda,Uganda,801874546,Start,40141000
Paulo Muwanga,Uganda,802211455,C,40141000
Christopher Kibanzanga,Uganda,802286792,Start,40141000
Ezekiel Tenywa Wako of Busoga,Uganda,802517620,Stub,40141000
Robert Kyagulanyi Ssentamu,Uganda,802822017,GA,40141000
Mariam Najjemba,Uganda,802972400,Start,40141000
Bernadette Olowo,Uganda,803360897,Stub,40141000
Monica Azuba Ntege,Uganda,803417110,Start,40141000
Benna Namugwanya,Uganda,804317144,Start,40141000
Dorothy Hyuha,Uganda,804643751,Start,40141000
Sam Cheptoris,Uganda,804781815,Start,40141000
Betty Oyella Bigombe,Uganda,804829931,C,40141000
Muwenda Mutebi II of Buganda,Uganda,804856220,C,40141000
Nabilah Naggayi Sempala,Uganda,804883827,Start,40141000
Charles Mayiga,Uganda,804903944,Start,40141000
Muteesa I of Buganda,Uganda,805179937,Start,40141000
Mwanga II of Buganda,Uganda,805289323,C,40141000
Idi Amin,Uganda,805328243,B,40141000
Irene Muloni,Uganda,805393764,Start,40141000
Gershom Sizomu,Uganda,805409966,Start,40141000
Specioza Kazibwe,Uganda,805435381,Start,40141000
Janet Museveni,Uganda,805463795,C,40141000
Evelyn Anite,Uganda,805660978,C,40141000
Betty Amongi,Uganda,805668648,Start,40141000
Cecilia Ogwal,Uganda,805668810,Start,40141000
Doreen Amule,Uganda,805678630,Start,40141000
Muhammad Nsereko,Uganda,806171535,C,40141000
Betty Nambooze,Uganda,806171836,Start,40141000
Barbara Nekesa Oundo,Uganda,806276711,Start,40141000
Oliver Wonekha,Uganda,806276835,Start,40141000
Margaret Zziwa,Uganda,806337809,Start,40141000
Mutesa II of Buganda,Uganda,806741960,C,40141000
Ignatius K. Musaazi,Uganda,807146511,C,40141000
Princess Elizabeth Nantale Mulondo,Uganda,807467793,Start,40141000
Template:Namibia-politician-stub,Namibia,391862409,Stub,2482100
Template:Namibia-mayor-stub,Namibia,444756008,Stub,2482100
Karlous Marx Shinohamba,Namibia,706945392,Stub,2482100
Dawid Bezuidenhout,Namibia,714705477,Stub,2482100
Gabes Shihepo,Namibia,714887791,Stub,2482100
Themistokles Dudu Murorua,Namibia,715035025,Stub,2482100
Johannes Nakwafila,Namibia,715168821,Stub,2482100
Kaire Mbuende,Namibia,715193056,Stub,2482100
Jhonny Haikella Hakaye,Namibia,715558961,Stub,2482100
Rihupisa Justus Kandando,Namibia,715716890,Stub,2482100
Sebastian Ignatius ?Gobs,Namibia,715737685,Stub,2482100
Hans Booys,Namibia,716991969,Stub,2482100
Isak Katali,Namibia,717212350,Stub,2482100
Paulus Kapia,Namibia,717631584,Stub,2482100
Johannes Isaaks,Namibia,717961259,Stub,2482100
